#E(GeV),Aeff(m^2)
40.175417261727276,1.5848931924611134
41.66793520981026,2.3802543999019172
42.434859860801566,3.5747588766247076
43.611794839943315,4.878785094572128
44.01131616874804,6.347422435927033
44.41449745451523,8.258156651526647
48.213461935858085,10.490090157700584
52.816823358058684,14.316740588229713
58.924652458045735,20.49690610706641
63.384081015446796,26.66699171394701
69.43591429214284,37.2759372031494
76.76239473729682,50.87372130246887
84.86192348548578,71.11284470717192
92.12053163409652,92.51960421029456
102.77350975825644,123.28467394420659
114.6584167575622,160.39646966004267
126.75651695268918,213.7322855261406
142.7103415508828,284.8035868435805
160.6721458997738,370.5366483501518
176.01292269446196,517.9474679231213
192.81841779079824,642.3802909915162
223.10785019412936,855.9877163229555
251.18864315095797,1255.1663819416835
270.1986459568253,1594.4004291864615
301.4448862194065,1930.6977288832536
336.3044959239017,2394.532738754061
368.4144312093681,3115.347475837593
418.58357053610786,4053.1456255042153
479.94129478397485,5026.882121429444
540.3476503583496,6087.172154212106
602.8343902479198,7919.564472307379
672.5472051642571,9589.99060745999
778.1962056190478,11612.749687531215
884.1677163850177,14062.157182964578
1004.5699851178538,17440.480323966072
1100.4850787393057,19656.513704875615
1205.5580262890057,22690.504696517022
1420.6112432688337,25573.620006596557
1643.772021774387,27476.4764753189
2064.673982468992,31717.481943520877
2410.8945645123777,36613.0883536404
2815.1721049173534,41265.24382543467
3347.7458107057346,46508.51442864579
3634.0930206558196,49969.07368886734
4361.179483994338,52418.00880930025
5000.459348303523,56318.27584676293
5892.465245804579,66585.03362188597
6943.591429214283,66585.0336218861
8486.192348548577,68197.15128115381
10277.350975825642,69848.30058471084
12333.578686846982,71539.42654376508
14401.769029678595,71539.42654376493
18255.180801591687,75045.50342742924
22310.78501941296,80629.41456744671
27769.26317691149,80629.41456744705
34249.439246820024,86628.80781092911
43019.30267113855,90874.4004190761
52099.27540261122,86628.80781092911
64845.70079997881,86628.80781092911
74351.05387260139,86628.80781092928
